participant,condition,session,sleep_kb.keys,stress_slide.response,id,C,S,Order
GN100,SD,1,3,4.975,GNG100,SR,1,SR_WR
GNG101,FS,1,1,4.98630137,GNG101,WR,1,WR_WR
GNG103,fs,1,1,7.56,GNG103,WR,1,WR_WR
GNG104,FS,1,2,2.025,GNG104,WR,1,WR_WR
GNG106,FS,1,1,4,GNG106,WR,1,WR_WR
GNG107,SD,1,2,2.975000381,GNG107,SR,1,SR_WR
GNG15,SD,1,6,1.965113913,GNG15,SR,1,SR_WR
GNG17,SD,1,2,7.015,GNG17,SR,1,SR_WR
GNG18,FS,1,2,4.491666794,GNG18,WR,1,WR_WR
GNG19,FF,1,2,1.983333333,GNG19,WR,1,WR_WR
GNG20,SD,1,6,8.950000763,GNG20,SR,1,SR_WR
GNG22,FS,1,2,7.008333206,GNG22,WR,1,WR_WR
GNG23,FS,1,3,4.065640259,GNG23,WR,1,WR_WR
GNG24,SD,1,3,4.283333333,GNG24,SR,1,SR_WR
GNG25,SD,1,4,2.01666673,GNG25,SR,1,SR_WR
GNG26,FS,1,3,3.975000381,GNG26,WR,1,WR_WR
GNG27,FS,1,1,2.983333333,GNG27,WR,1,WR_WR
GNG28,SD,1,2,5.413462524,GNG28,SR,1,SR_WR
GNG29,FS,1,2,2.008164978,GNG29,WR,1,WR_WR
GNG33,FS,1,2,5.990976563,GNG33,WR,1,WR_WR
GNG34,FS,1,1,3.991666794,GNG34,WR,1,WR_WR
GNG35,FS,1,2,4,GNG35,WR,1,WR_WR
GNG36,FS,1,5,7.99,GNG36,WR,1,WR_WR
GNG37,SD,1,4,7.99,GNG37,SR,1,SR_WR
GNG39,SD,1,3,2.408333588,GNG39,SR,1,SR_WR
GNG41,FS,1,1,5.989583333,GNG41,WR,1,WR_WR
GNG42,FS,1,8,6,GNG42,WR,1,WR_WR
GNG43,SD,1,6,6.009179687,GNG43,SR,1,SR_WR
GNG44,FS,1,2,1.933333397,GNG44,WR,1,WR_WR
GNG45,FS,1,4,6.979452055,GNG45,WR,1,WR_WR
GNG47,SD,1,2,5.958333588,GNG47,SR,1,SR_WR
GNG48,CONDIZIONE SD,SESSIONE 1,4,7.991776316,GNG48,SR,1,SR_WR
GNG49,SD,1,2,3.015625,GNG49,SR,1,SR_WR
GNG50,SD,1,5,6.00390625,GNG50,SR,1,SR_WR
GNG53,SD,1,3,8.641666412,GNG53,SR,1,SR_WR
GNG54,SD,1,1,2,GNG54,SR,1,SR_WR
GNG55,CONDIZIONE FS,SESSIONE 1,1,3.975000381,GNG55,WR,1,WR_WR
GNG56,SD,1,2,3.96666654,GNG56,SR,1,SR_WR
GNG60,SD,1,5,5.008333206,GNG60,SR,1,SR_WR
GNG61,SD,1,4,6.016667048,GNG61,SR,1,SR_WR
GNG62,SD,1,2,2.516666794,GNG62,SR,1,SR_WR
GNG63,FS,1,1,1,GNG63,WR,1,WR_WR
GNG64,FS,1,1,2.02,GNG64,WR,1,WR_WR
GNG66,SD,1,3,1.01171875,GNG66,SR,1,SR_WR
GNG67,SD,1,3,6.016667048,GNG67,SR,1,SR_WR
GNG68,SD,1,2,1.450000127,GNG68,SR,1,SR_WR
GNG69,FS,1,2,2.971166992,GNG69,WR,1,WR_WR
GNG70,fs,1,2,3.958333333,GNG70,WR,1,WR_WR
GNG71,FS,1,2,5.9921875,GNG71,WR,1,WR_WR
GNG73,SD,1,2,6.958333588,GNG73,SR,1,SR_WR
